Video;arrival time;station;core alight;later alight;core boarding;later boarding;spacemaker;core time;time
3009;18:10;Marien;9;0;5;2;0;15.033;18.867
3025;09:56;Hbf;6;0;9;0;0;12.634;12.634
3026;09:58;Hbf;3;0;9;0;0;13.633;13.633
3029;10:00;Hbf;4;0;7;0;0;10.767;10.767
3032;10:02;Hbf;8;0;4;0;0;12.733;12.733
3034;10:12;Hbf;8;1;8;1;0;13.866;18.48
3035;10:13;Hbf;4;0;2;0;0;8.334;8.334
3037;10:23;Hbf;17;0;7;1;0;20.467;22.28
3039;10:26;Hbf;7;0;3;0;0;11.1;11.1
3040;10:31;Hbf;10;0;6;0;0;15.067;15.067
3041;10:33;Hbf;3;0;0;0;0;3.367;3.367
3042;10:37;Hbf;4;1;3;0;0;5.3;7.36
3043;10:42;Hbf;9;0;5;1;0;12.033;13.24
3044;10:46;Hbf;1;0;4;0;0;7.067;7.067
3045;10:53;Hbf;8;0;6;0;0;14.267;14.267
3047;13:52;Hbf;14;0;4;1;0;14.2;15.76
3049;13:57;Hbf;7;0;4;2;0;7.867;11.6
3146;07:55;Odeon;8;0;4;0;2;14.3;14.3
3147;07:58;Odeon;7;0;8;0;0;17.367;17.367
3148;08:01;Odeon;15;0;7;0;2;20.967;20.967
3149;08:03;Odeon;6;0;8;0;0;16.266;16.266
3150;08:05;Odeon;12;0;4;0;0;11.6;11.6
3153;17:42;Marien;21;0;7;2;1;20.6;23.16
3154;17:45;Marien;20;0;7;0;1;18.6;18.6
3157;17:53;Marien;19;0;11;4;1;22.9;28.68
3158;17:55;Marien;20;0;4;5;1;16.4;20.934
3159;17:56;Marien;24;0;5;0;0;23.133;23.133
3162;18:00;Marien;14;0;8;0;0;17.6;17.6
3163;18:03;Marien;12;0;11;2;0;20.2;26.033
3164;18:06;Marien;15;0;14;0;1;25.6;25.6
3165;18:09;Marien;34;0;19;0;0;35.034;35.034
3167;18:12;Marien;16;0;9;3;0;17.667;21.4
3169;18:19;Marien;14;0;7;0;0;14.866;14.866
3170;18:20;Marien;14;0;8;0;0;17.433;17.433
3171;18:23;Marien;21;0;8;3;1;21.833;25.466
3174;18:31;Marien;14;0;13;0;0;21.933;21.933
3176;12:05;Marien;3;0;1;0;0;3.466;3.466
3177;12:07;Marien;15;0;6;0;0;17.2;17.2
3178;12:10;Marien;2;0;6;0;0;7.933;7.933
3179;12:15;Marien;16;0;14;6;0;30.967;41.234
3181;12:20;Marien;5;0;5;0;0;15.133;15.133
3182;12:25;Marien;26;0;12;0;0;30.233;30.233
3183;12:27;Marien;10;0;13;0;0;18.734;18.734
3184;12:46;Marien;14;0;6;2;2;23.57;25.4
3186;12:53;Marien;16;0;10;0;0;22.167;22.167
3187;12:56;Marien;16;0;12;0;0;21.1;21.1
3188;12:58;Marien;4;0;1;0;0;4.533;4.533
3190;13:07;Marien;16;0;6;0;0;19.367;19.367
3191;13:09;Marien;5;0;3;0;0;7.2;7.2
3192;13:13;Marien;19;0;9;4;0;24.233;29.133
3195;13:24;Marien;12;0;7;1;0;16.4;18.533
3196;13:26;Marien;19;0;13;0;0;26.1;26.1
3197;13:27;Marien;3;0;2;1;0;5.32;7.68
3198;13:33;Marien;34;0;9;1;0;29.334;29.96
3199;13:35;Marien;8;0;14;0;0;18.4;18.4
3203;13:47;Marien;19;0;18;12;0;30.733;38.4
